"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"1276",12.5668276886,12.7495480173,3807,19,12744.4808733,5.06714403801,4.23789143156,3.34764404342,3.54266017672e-05,4.13151204796e-05,321,211,"rn"
"1279",5.77504247396,5.84449145393,2961,0,5844.49145393,0,5.0889358264,1.97382352378,5.32238509735e-05,1.67046390455e-05,346.4,103.8,"rn"
"1286",6.11503315573,7.73143324125,2684,29,6212.73324125,0,3.75876154792,2.3147292255,0.000175354731968,0.000175354731968,794,0,"rn"
"1288",5.83320417588,5.87043778165,1903,0,5870.43778165,0,4.33600018748,3.08483330618,2.80977649775e-05,2.48405500015e-05,745,693,"rn"
"1300",12.2453840622,12.3036295028,3840,20,12301.4273788,2.20212402183,5.00043464805,3.20349671322,2.61077968953e-05,2.61077968953e-05,268,35,"rn"
"1301",5.10819141259,5.14883414408,1404,0,5148.83414408,0,4.53143555711,3.66726078638,2.74852660482e-05,2.7289502045e-05,313,273,"rn"
"1308",8.47880809878,8.81273490486,3777,114,8802.57914277,10.15576209,4.47211305884,2.33057430309,6.25028888289e-05,6.3069006135e-05,77.8,-6.2,"rn"
"1309",14.0647348558,14.1971928214,5991,80,14182.8581916,14.3346298077,3.48972410563,2.36736073971,3.25544707876e-05,3.31801491306e-05,245.7,11.6,"rn"
"1310",11.406313007,11.5279266454,4392,84,11513.8569208,14.069724658,4.02116399127,2.62155212221,3.50490118721e-05,3.47684654766e-05,229.6,62,"rn"
"1323",6.5387658256,6.55101653255,2286,0,6551.01653255,0,4.01721477916,2.86571151905,1.36570114884e-05,1.55992740405e-05,136.6,92.3,"rn"
"1328",20.5137360833,20.6065483983,7110,0,20606.5483983,0,4.69432596556,2.89824871987,2.41257856682e-05,2.39551682836e-05,790.1,722.7,"rn"
"1339",11.4459454653,12.5634122764,6753,1408,12455.9327584,107.479518046,3.31145551846,1.84450359224,7.93101804262e-05,7.80957765972e-05,2609,2538,"rn"
"1347",14.804269291,15.0710964818,3810,0,15071.0964818,0,5.53315356087,3.95566836792,4.62028882719e-05,4.72836575882e-05,55,-16,"rn"
"1359",3.04246358608,3.26632910714,1972,2236,3137.63746493,128.691642202,6.3203812757,1.59109404915,8.65745776566e-05,0.000106196833868,873.7,668.1,"rn"
"1366",20.7807080257,20.8988303791,6052,0,20898.8303791,0,5.26523641426,3.45321057157,2.02534003884e-05,1.8521024381e-05,122,-2,"rn"
"1390",6.76465087073,6.81819964545,2325,0,6818.19964545,0,5.33437258833,2.93255898729,2.37868890908e-05,2.37425409041e-05,519,468,"rn"
"1393",12.3388951957,12.4358460635,4586,36,12428.820745,7.02531854245,3.63756669535,2.71016588421,3.01485663101e-05,3.32282585676e-05,141,53,"rn"
"1405",4.85504422966,4.88238384857,1894,0,4882.38384857,0,3.4859619249,2.57781618193,1.98556378562e-05,2.56228355738e-05,63,20,"rn"
"1424",10.1869081705,10.2780850996,2997,30,10275.314818,2.77028161774,4.51196433366,3.4285334728,2.87525905897e-05,2.79672688938e-05,498,422,"rn"
"1428",3.15561611728,3.19869405717,1146,0,3198.69405717,0,4.37819154321,2.79118155076,5.94242116375e-05,6.59205658321e-05,119.7,-33.4,"rn"
"1434",7.32073306562,7.34300520329,2968,0,7343.00520329,0,2.96393706447,2.4740583569,1.18075606944e-05,2.03312972439e-05,723.8,642.2,"rn"
"1452",12.0273453985,12.0713415364,4311,0,12071.3415364,0,3.21787049158,2.80012561735,1.52909884856e-05,1.45925800071e-05,144.6,80.9,"rn"
"1463",30.0277732917,30.0356174462,14620,2760,29690.2299694,345.387476786,3.96663988671,2.03079548354,6.07104623541e-06,6.10434873807e-06,340,284,"rn"
